timestamp,model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc,hyperparameters
20260415_000134,ibm-granite/granite-4.0-tiny-preview,dspy,0.713,0.9344,0.5681,0.7066,"{'jigsaw': 0.7983820784069695, 'olid': 0.641860465116279, 'hate_xplain': 0.7834877843302444, 'hate_speech_slovak ': 0.5610010427528676, 'dkhate': 0.7355623100303952, 'web_questions': 0.2844488188976378, 'ml_questions': 0.171875}","{""max_new_tokens_baseline"": 3, ""max_new_tokens_dspy"": 15, ""max_input_len"": 2048, ""gepa_train_size"": 500, ""gepa_val_size"": 300, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 300, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260415_000134,ibm-granite/granite-4.0-tiny-preview,fewshot,0.7608,0.9304,0.6052,0.7334,"{'jigsaw': 0.8164281269446173, 'olid': 0.6825581395348838, 'hate_xplain': 0.7262005054759899, 'hate_speech_slovak ': 0.5808133472367049, 'dkhate': 0.6838905775075987, 'web_questions': 0.5044291338582677, 'ml_questions': 0.2421875}","{""max_new_tokens_baseline"": 3, ""max_new_tokens_dspy"": 15, ""max_input_len"": 2048, ""gepa_train_size"": 500, ""gepa_val_size"": 300, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 300, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260415_000134,mistralai/Mistral-7B-Instruct-v0.3,dspy,0.3798,0.9161,0.8511,0.8824,"{'jigsaw': 0.8929682638456752, 'olid': 0.763953488372093, 'hate_xplain': 0.9331086773378264, 'hate_speech_slovak ': 0.821689259645464, 'dkhate': 0.8905775075987842, 'web_questions': 0.8587598425196851, 'ml_questions': 0.796875}","{""max_new_tokens_baseline"": 3, ""max_new_tokens_dspy"": 15, ""max_input_len"": 2048, ""gepa_train_size"": 500, ""gepa_val_size"": 300, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 300, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260415_184534,mistralai/Mistral-7B-Instruct-v0.3,fewshot,0.5082,0.9581,0.7887,0.8652,"{'jigsaw': 0.8699439950217797, 'olid': 0.7290697674418605, 'hate_xplain': 0.8680707666385846, 'hate_speech_slovak ': 0.5651720542231491, 'dkhate': 0.7598784194528876, 'web_questions': 0.8617125984251969, 'ml_questions': 0.8671875}","{""max_new_tokens_baseline"": 3, ""max_new_tokens_dspy"": 15, ""max_input_len"": 2048, ""gepa_train_size"": 500, ""gepa_val_size"": 50, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 300, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260415_234435,mistralai/Mistral-7B-Instruct-v0.3,gepa,0.4601,0.9193,0.73,0.8138,"{'jigsaw': 0.6689483509645302, 'olid': 0.6465116279069767, 'hate_xplain': 0.7292333614153328, 'hate_speech_slovak ': 0.5516162669447341, 'dkhate': 0.6899696048632219, 'web_questions': 0.9020669291338582, 'ml_questions': 0.921875}","{""max_new_tokens_baseline"": 3, ""max_new_tokens_dspy"": 15, ""max_input_len"": 2048, ""gepa_train_size"": 500, ""gepa_val_size"": 50, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 300, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,baseline,0.0876,0.925,0.9779,0.9507,"{'hate_xplain': 0.9932885906040269, 'jigsaw': 0.9882352941176471, 'web_questions': 0.927007299270073, 'olid': 0.9552238805970149, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,dspy,0.3148,0.959,0.9329,0.9458,"{'hate_xplain': 0.959731543624161, 'jigsaw': 0.9647058823529412, 'web_questions': 0.927007299270073, 'olid': 0.8059701492537313, 'dkhate': 0.9655172413793104, 'hate_speech_slovak ': 0.9074074074074074, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,gepa,0.3453,0.956,0.9783,0.967,"{'hate_xplain': 0.9888143176733781, 'jigsaw': 0.9882352941176471, 'web_questions': 0.9416058394160584, 'olid': 0.9850746268656716, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9444444444444444, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,fewshot,0.3569,0.955,0.9682,0.9616,"{'hate_xplain': 0.9910514541387024, 'jigsaw': 0.984313725490196, 'web_questions': 0.9416058394160584, 'olid': 0.9701492537313433, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 0.9090909090909091}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,mistralai/Mistral-7B-Instruct-v0.3,baseline,0.0756,0.698,0.9984,0.8216,"{'hate_xplain': 1.0, 'jigsaw': 0.996078431372549, 'web_questions': 0.9927007299270073, 'olid': 1.0, 'dkhate': 1.0, 'hate_speech_slovak ': 1.0, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
